ID,Days of usage,Rainfall,Ave temp dry,Volume per day,Amount spent,Predicted MLR,per capital MLR,Predicted RF,Predicted SVR,Predicted MLP
1,31,0,29.1,180,330,182.8967955,26.12811364,180,179.7194845,181.0117083
2,31,0,29.1,100,165,103.1362777,14.73375396,100,99.29789101,99.56193062
3,31,0,29.1,180,450,181.3902985,30.23171642,180,179.2424219,180.0260985
4,31,0,29.1,140,165,158.869756,19.8587195,140,149.6167007,139.9693889
5,31,0,29.1,160,285,153.5474432,21.93534903,160,151.7052215,159.9625233
6,31,0,29.1,100,330,108.5451176,15.50644537,101.6912821,108.2563717,100.679909
7,31,0,29.1,160,150,153.6210069,21.94585813,160,151.7264679,159.7805804
8,31,0,29.1,180,210,179.2753884,19.9194876,180,179.9191128,180.3574276
9,31,0,29.1,160,165,153.6529213,21.95041733,160,151.7368698,159.7502432
10,31,0,29.1,200,400,189.7013539,21.07792821,200,186.4494183,199.7572474
11,31,0,29.1,180,200,180.2569092,30.0428182,180,179.1309932,179.6462653
12,31,0,29.1,180,210,179.1910398,19.91011553,180,179.8906002,180.3477954
13,31,0,29.1,120,285,127.6997913,21.28329855,119.975,129.4473825,120.6536677
14,31,0,29.1,140,165,152.9932997,19.12416246,140,140.6317218,140.1065293
15,31,0,29.1,80,120,79.7982087,11.3997441,80,71.9604554,80.97804182
16,31,0,29.1,160,285,153.6221025,21.94601464,160,151.7276762,159.8144609
17,31,0,29.1,120,285,122.4462416,20.40770693,120,120.5391408,118.8253951
18,31,0,29.1,140,165,149.5772584,18.6971573,140,140.2855484,139.6975343
19,31,0,29.1,80,280,60.13820817,8.591172596,80,61.74810942,78.11782328
20,31,0,29.1,180,450,183.832214,30.63870233,180,179.5277807,179.5558446
21,31,0,29.1,200,300,192.5915346,21.3990594,200,186.7534985,199.7442823
22,31,0,29.1,180,210,182.7150714,20.3016746,180,180.2718049,180.3144937
23,31,0,29.1,100,165,103.2118309,14.74454727,100,99.31932578,99.60458101
24,31,0,29.1,120,285,118.8902565,19.81504275,120,120.147089,120.0325358
25,31,0,29.1,140,380,157.1914068,19.64892585,140,149.4524492,139.5543374
26,31,0,29.1,120,285,119.5166598,19.9194433,120,120.2249185,119.7857214
27,31,0,29.1,180,450,183.87262,30.64543667,180,179.540402,179.5935455
