Household Income (I),Household Size (S) (persons),Rainfall (R) (mm/day),Temperature (T) (°C),Travel Time (t) (minutes),Amount Spent (A),Willingness To Pay (W),Shortest Distance (d) (meters),Height Difference (h) (meters),,
100000,7,2,29.1,30,330,380,136.01,4,,
50000,7,2,29.1,45,165,210,349.69,2,,
85000,6,2,29.1,20,450,500,335.43,7,,
80000,8,2,29.1,45,165,210,310.44,2,,
75000,7,2,29.1,30,285,330,276.74,0,,
50000,7,2,29.1,45,330,380,224.96,2,,
75000,7,2,29.1,30,150,200,167.03,4,,
75000,9,2,29.1,40,210,260,122.1,3,,
75000,7,2,29.1,45,165,210,107.42,3,,
75000,9,2,29.1,40,400,450,151.09,3,,
75000,6,2,29.1,20,200,250,249,1,,
75000,9,2,29.1,40,210,260,290,8,,
75000,6,2,29.1,35,285,330,266.37,6,,
75000,8,2,29.1,40,165,210,238.1,3,,
75000,7,2,29.1,60,120,170,203.82,0,,
75000,7,2,29.1,30,285,330,156.35,2,,
75000,6,2,29.1,35,285,330,104.85,2,,
45000,8,2,29.1,40,165,210,76.55,1,,
40000,7,2,29.1,60,280,330,52.61,2,,
105000,6,2,29.1,25,450,500,126.21,1,,
100000,9,2,29.1,40,300,350,189.99,0,,
105000,9,2,29.1,35,210,260,251.53,7,,
50000,7,2,29.1,45,165,210,240.93,7,,
45000,6,2,29.1,25,285,330,207.39,5,,
65000,8,2,29.1,45,380,430,182.72,2,,
50000,6,2,29.1,25,285,330,112.16,0,,
105000,6,2,29.1,20,450,500,56.3,1,,
40000,7,2,29.1,50,120,170,30.41,1,,
40000,6,2,29.1,25,200,250,74.43,2,,
40000,7,2,29.1,60,120,170,141.01,2,,
40000,7,2,29.1,60,360,410,144.28,3,,
40000,7,2,29.1,65,90,140,167.93,5,,
40000,7,2,29.1,40,210,260,67.2,4,,
40000,6,2,29.1,30,120,170,93.52,5,,
40000,7,2,29.1,50,120,170,102.07,5,,
40000,8,2,29.1,55,280,330,60.88,2,,
40000,6,2,29.1,35,240,290,87,0,,
40000,7,2,29.1,45,165,210,92.91,3,,
100000,7,2,29.1,50,120,170,126.53,3,,
60000,6,2,29.1,55,300,350,167.06,6,,
45000,6,2,29.1,65,120,170,206.46,6,,
60000,6,2,29.1,70,260,310,193.83,6,,
40000,7,2,29.1,65,120,170,188.4,4,,
60000,6,2,29.1,60,120,170,139.45,4,,
65000,7,2,29.1,40,180,230,74.4,3,,
100000,7,2,29.1,25,360,410,35.36,1,,
70000,8,2,29.1,25,285,330,51.62,1,,
100000,9,2,29.1,55,240,290,90.8,1,,
85000,9,2,29.1,50,120,170,136.56,2,,
100000,9,2,29.1,65,300,350,150.72,4,,
90000,9,2,29.1,75,120,170,102.08,1,,
105000,9,2,29.1,50,240,290,114.39,3,,
75000,7,2,29.1,60,120,170,139.29,4,,
75000,7,2,29.1,75,120,170,188.53,3,,
75000,9,2,29.1,50,200,250,189.11,3,,
75000,7,2,29.1,70,120,170,151.82,3,,
75000,8,2,29.1,60,310,360,98.27,3,,
75000,6,2,29.1,35,285,330,66.1,3,,
75000,6,2,29.1,30,330,380,54.04,2,,
75000,6,2,29.1,25,280,330,37.12,1,,
80000,7,2,29.1,40,210,260,77.16,2,,
40000,7,2,29.1,45,165,210,118.44,2,,
75000,7,2,29.1,50,165,210,176.82,3,,
40000,7,2,29.1,90,100,150,235.36,6,,
45000,6,2,29.1,130,165,210,254.87,7,,
90000,9,2,29.1,120,165,210,296.1,9,,
50000,7,2,29.1,50,200,250,207.2,5,,
60000,6,2,29.1,75,165,210,238.32,6,,
60000,7,2,29.1,70,165,210,197.28,5,,
60000,9,2,29.1,120,310,360,228.64,6,,
60000,7,2,29.1,120,165,210,237.98,6,,
60000,8,2,29.1,130,165,210,197.31,5,,
60000,6,2,29.1,60,120,170,209.4,5,,
60000,7,2,29.1,130,280,330,261.01,6,,
65000,8,2,29.1,90,120,170,234.85,6,,
70000,7,2,29.1,130,120,170,281.32,4,,
40000,7,2,29.1,120,300,350,344.41,0,,
45000,6,2,29.1,130,120,170,315.41,1,,
95000,9,2,29.1,120,120,170,347.59,2,,
105000,7,2,29.1,120,120,170,372.86,3,,
75000,9,2,29.1,113,180,230,408.79,5,,
60000,6,2,29.1,130,120,170,389.42,4,,
105000,6,2,29.1,130,120,170,415.88,8,,
95000,9,2,29.1,120,220,270,465.97,15,,
80000,7,2,29.1,130,120,170,491.23,11,,
45000,6,2,29.1,92,120,170,434.01,4,,
60000,6,2,29.1,92,180,230,491.92,3,,
85000,9,2,29.1,122,120,170,422.2,3,,
45000,6,2,29.1,62,190,240,349.23,8,,
45000,6,2,29.1,62,120,170,326.96,10,,
45000,7,2,29.1,55,165,210,297.43,7,,
45000,7,2,29.1,62,165,210,345.24,11,,
45000,9,2,29.1,132,100,150,318.68,10,,
45000,9,2,29.1,132,165,210,292.31,9,,
45000,9,2,29.1,135,120,170,320.98,10,,
45000,6,2,29.1,62,165,210,359.9,16,,
45000,7,2,29.1,92,165,210,322.58,12,,
50000,7,2,29.1,55,200,250,266.32,10,,
80000,7,2,29.1,92,165,210,364.61,9,,
70000,8,2,29.1,25,285,330,239.56,2,,
85000,9,2,29.1,32,240,290,90.27,2,,
105000,6,2,29.1,13,480,300,201.42,2,,
40000,7,2,29.1,42,285,330,154.25,3,,
65000,8,2,29.1,62,210,260,169.96,3,,
85000,9,2,29.1,65,165,210,173.93,6,,
60000,6,2,29.1,25,405,450,144.14,6,,
75000,7,2,29.1,25,200,250,164,6,,
55000,8,2,29.1,25,285,330,108.26,2,,
95000,9,2,29.1,42,210,260,113.89,2,,
75000,7,2,29.1,32,330,380,183.35,1,,
85000,9,2,29.1,52,165,210,226.74,2,,
85000,7,2,29.1,42,240,290,283.47,1,,
85000,6,2,29.1,25,360,410,261.69,2,,
85000,7,2,29.1,25,405,450,118.68,2,,
85000,8,2,29.1,22,450,500,33.53,1,,
85000,8,2,29.1,52,210,260,142.44,2,,
85000,7,2,29.1,35,220,270,81.5,0,,
85000,8,2,29.1,32,285,330,88.28,2,,
100000,6,2,29.1,25,180,230,199.4,5,,
80000,9,2,29.1,52,165,210,172,7,,
40000,7,2,29.1,35,285,330,147.49,3,,
50000,7,2,29.1,25,360,410,57.01,1,,
100000,6,2,29.1,13,480,300,56.75,2,,
100000,7,2,29.1,35,220,270,145.91,8,,
40000,7,2,29.1,22,405,450,55.01,1,,
100000,6,2,29.1,13,350,400,88.62,4,,
60000,6,2,29.1,13,480,300,97.74,3,,
40000,7,2,29.1,22,450,500,32.02,1,,
95000,9,2,29.1,42,240,290,79.88,0,,
45000,6,2,29.1,13,480,300,95.52,4,,
85000,7,2,29.1,25,405,450,56.01,1,,
60000,6,2,29.1,22,450,500,94.37,1,,
75000,7,2,29.1,15,480,300,23.85,1,,
80000,7,2,29.1,25,300,350,74.17,1,,
95000,9,2,29.1,42,240,290,79.2,1,,
95000,9,2,29.1,32,330,380,30.59,1,,
95000,7,2,29.1,22,450,500,67.08,2,,
95000,8,2,29.1,32,230,280,69.35,2,,
95000,6,2,29.1,5,600,450,49.48,1,,
95000,6,2,29.1,5,480,300,45.88,0,,
95000,7,2,29.1,25,360,410,93.91,3,,
75000,9,2,29.1,25,280,330,10.77,0,,
95000,9,2,29.1,35,285,330,60.44,2,,
60000,6,2,29.1,5,720,380,35.44,1,,
75000,7,2,29.1,22,450,500,59.51,0,,
40000,7,2,29.1,25,180,230,99.76,1,,
65000,8,2,29.1,35,285,330,89.47,2,,
85000,9,2,29.1,35,300,350,57.71,1,,
40000,7,2,29.1,62,120,170,229.59,8,,
45000,6,2,29.1,5,645,400,36.36,1,,
65000,8,2,29.1,35,285,330,129.4,5,,
40000,7,2,29.1,32,360,410,121.5,4,,
40000,9,2,29.1,42,210,260,177.72,4,,
40000,8,2,29.1,132,380,430,230.65,7,,
40000,7,2,29.1,92,210,260,294.54,6,,
40000,7,2,29.1,92,210,260,178.72,2,,
40000,8,2,29.1,132,380,430,196.02,9,,
90000,9,2,29.1,122,210,260,224.45,11,,
105000,9,2,29.1,113,180,230,215.2,11,,
70000,8,2,29.1,113,210,260,210.11,5,,
70000,6,2,29.1,92,210,260,250.91,6,,
70000,8,2,29.1,122,180,230,332.63,7,,
70000,9,2,29.1,122,210,260,389.28,1,,
70000,6,2,29.1,132,370,420,448.99,3,,
105000,7,2,29.1,132,210,260,338.76,10,,
40000,7,2,29.1,132,210,260,305.81,18,,
100000,6,2,29.1,92,320,370,308.01,18,,
40000,7,2,29.1,132,210,260,400.05,22,,
50000,7,2,29.1,132,140,190,420.33,23,,
55000,6,2,29.1,92,210,260,378.8,18,,
70000,8,2,29.1,122,210,260,426.9,11,,
50000,7,2,29.1,132,180,230,473.33,10,,
80000,7,2,29.1,132,210,260,531.51,18,,
80000,8,2,29.1,132,210,260,527.39,16,,
80000,9,2,29.1,122,190,240,463.04,4,,
80000,6,2,29.1,132,210,260,488.07,26,,
80000,7,2,29.1,120,210,260,474.22,15,,
80000,7,2,29.1,120,400,450,469.3,24,,
80000,8,2,29.1,130,210,260,470.34,17,,
80000,6,2,29.1,50,120,170,405.81,9,,
80000,7,2,29.1,90,280,330,379.33,16,,
50000,7,2,29.1,90,120,170,323.36,12,,
60000,6,2,29.1,90,120,170,373.55,9,,
50000,7,2,29.1,55,165,210,268.75,9,,
70000,8,2,29.1,130,380,430,342.38,2,,
95000,8,2,29.1,130,165,210,297.26,6,,
95000,9,2,29.1,130,120,170,231.68,8,,
65000,8,2,29.1,120,165,210,237.2,0,,
45000,6,2,29.1,20,280,330,186.42,6,,
40000,7,2,29.1,20,360,410,72.57,3,,
55000,6,2,29.1,13,450,500,112.72,3,,
55000,6,2,29.1,13,450,500,159.14,6,,
85000,9,2,29.1,50,165,210,196.45,4,,
90000,8,2,29.1,40,210,260,222.3,9,,
60000,6,2,29.1,13,280,330,128.72,1,,
100000,7,2,29.1,35,285,330,306.37,15,,
100000,9,2,29.1,40,210,260,196.6,3,,
40000,7,2,29.1,30,330,380,211.02,2,,
50000,6,2,29.1,13,480,300,192.63,4,,
75000,7,2,29.1,30,330,380,230.85,2,,
95000,9,2,29.1,40,285,330,101.84,0,,
55000,6,2,29.1,13,570,280,138.64,2,,
65000,7,2,29.1,13,480,300,105.08,1,,
105000,6,2,29.1,5,720,380,72.84,0,,
65000,8,2,29.1,20,300,350,87.14,1,,
60000,6,2,29.1,13,600,450,113.88,4,,
75000,7,2,29.1,20,450,500,137.06,2,,
105000,7,2,29.1,20,380,430,132.09,4,,
45000,6,2,29.1,5,765,280,55.07,3,,
