houawhold_Easting,household_Northing,waterpoint_easting,waterpoint_northin,household_elevation,WaterPoint_elevation,Household income,Household size,Rainfall,Air Temperature,Travel time,Amount spent,Willingness to pay
342450,998008,342578,998054,443,447,100000,7,2,29.1,20,330,380
342303,998270,342578,998054,449,447,50000,7,2,29.1,50,165,210
342321,998305,342656,998288,452,445,85000,6,2,29.1,20,450,500
342344,998258,342578,998054,449,447,80000,8,2,29.1,35,165,210
342362,998227,342578,998054,447,447,75000,7,2,29.1,30,285,330
342389,998176,342578,998054,445,447,50000,7,2,29.1,45,330,380
342421,998111,342578,998054,443,447,75000,7,2,29.1,30,150,200
342456,998049,342578,998054,444,447,75000,9,2,29.1,20,210,260
342484,998002,342578,998054,444,447,75000,7,2,29.1,30,165,210
342448,998131,342578,998054,444,447,75000,9,2,29.1,20,400,450
342397,998225,342578,998054,448,447,75000,6,2,29.1,20,200,250
342370,998336,342656,998288,453,445,75000,9,2,29.1,20,210,260
342390,998302,342656,998288,451,445,75000,6,2,29.1,35,285,330
342423,998239,342656,998288,448,445,75000,8,2,29.1,40,165,210
342440,998204,342578,998054,447,447,75000,7,2,29.1,60,120,170
342464,998161,342578,998054,445,447,75000,7,2,29.1,30,285,330
342490,998111,342578,998054,445,447,75000,6,2,29.1,40,285,330
342506,998080,342578,998054,446,447,45000,8,2,29.1,40,165,210
342526,998046,342578,998054,445,447,40000,7,2,29.1,60,280,330
342501,998154,342578,998054,446,447,105000,6,2,29.1,20,450,500
342471,998211,342578,998054,447,447,100000,9,2,29.1,20,300,350
342408,998330,342656,998288,452,445,105000,9,2,29.1,20,210,260
342424,998353,342656,998288,452,445,50000,7,2,29.1,50,165,210
342450,998312,342656,998288,450,445,45000,6,2,29.1,40,285,330
342475,998263,342656,998288,447,445,65000,8,2,29.1,35,380,430
342536,998158,342578,998054,447,447,50000,6,2,29.1,40,285,330
342559,998107,342578,998054,446,447,105000,6,2,29.1,20,450,500
342605,998068,342578,998054,446,447,40000,7,2,29.1,60,120,170
342586,998128,342578,998054,445,447,40000,6,2,29.1,40,200,250
342542,998205,342656,998288,447,445,40000,7,2,29.1,60,120,170
342512,998279,342656,998288,448,445,40000,7,2,29.1,60,360,410
342496,998339,342656,998288,450,445,40000,7,2,29.1,30,90,140
342618,998108,342578,998054,443,447,40000,7,2,29.1,30,210,260
342663,998093,342578,998054,442,447,40000,6,2,29.1,20,120,170
342645,998131,342578,998054,442,447,40000,7,2,29.1,60,120,170
342622,998172,342656,998288,443,445,40000,8,2,29.1,40,280,330
342593,998228,342656,998288,445,445,40000,6,2,29.1,20,240,290
342564,998275,342656,998288,448,445,40000,7,2,29.1,30,165,210
342535,998325,342656,998288,448,445,100000,7,2,29.1,30,120,170
342514,998376,342656,998288,451,445,60000,6,2,29.1,40,300,350
342488,998408,342656,998288,451,445,45000,6,2,29.1,35,120,170
342515,998421,342656,998288,451,445,60000,6,2,29.1,40,260,310
342542,998438,342656,998288,449,445,40000,7,2,29.1,60,120,170
342562,998391,342656,998288,449,445,60000,6,2,29.1,35,120,170
342596,998332,342656,998288,448,445,65000,7,2,29.1,30,180,230
342621,998293,342656,998288,446,445,100000,7,2,29.1,20,360,410
342648,998237,342656,998288,444,445,70000,8,2,29.1,40,285,330
342668,998198,342656,998288,444,445,100000,9,2,29.1,20,240,290
342691,998156,342656,998288,443,445,85000,9,2,29.1,20,120,170
342712,998123,342578,998054,443,447,100000,9,2,29.1,20,300,350
342706,998199,342656,998288,444,445,90000,9,2,29.1,20,120,170
342597,998386,342656,998288,448,445,105000,9,2,29.1,20,240,290
342587,998409,342656,998288,449,445,75000,7,2,29.1,30,120,170
342563,998452,342656,998288,448,445,75000,7,2,29.1,45,120,170
342595,998467,342656,998288,448,445,75000,9,2,29.1,20,200,250
342611,998433,342656,998288,448,445,75000,7,2,29.1,30,120,170
342635,998384,342656,998288,448,445,75000,8,2,29.1,40,310,360
342644,998353,342656,998288,448,445,75000,6,2,29.1,20,285,330
342658,998342,342656,998288,447,445,75000,6,2,29.1,40,330,380
342693,998285,342656,998288,444,445,75000,6,2,29.1,35,280,330
342713,998236,342656,998288,443,445,80000,7,2,29.1,30,210,260
342733,998198,342656,998288,443,445,40000,7,2,29.1,60,165,210
342764,998148,342656,998288,442,445,75000,7,2,29.1,30,165,210
342466,997847,342578,998054,441,447,40000,7,2,29.1,50,100,150
342477,997820,342578,998054,440,447,45000,6,2,29.1,40,165,210
342461,997782,342578,998054,438,447,90000,9,2,29.1,20,165,210
342461,997883,342578,998054,442,447,50000,7,2,29.1,50,200,250
342412,997883,342578,998054,441,447,60000,6,2,29.1,40,165,210
342438,997915,342578,998054,442,447,60000,7,2,29.1,50,165,210
342384,997933,342578,998054,441,447,60000,9,2,29.1,20,310,360
342346,998001,342578,998054,441,447,60000,7,2,29.1,60,165,210
342384,998018,342578,998054,442,447,60000,8,2,29.1,40,165,210
342369,998041,342578,998054,442,447,60000,6,2,29.1,40,120,170
342317,998056,342578,998054,441,447,60000,7,2,29.1,30,280,330
342344,998074,342578,998054,441,447,65000,8,2,29.1,40,120,170
342308,998133,342578,998054,443,447,70000,7,2,29.1,30,120,170
342253,998168,342578,998054,447,447,40000,7,2,29.1,60,300,350
342292,998187,342578,998054,448,447,45000,6,2,29.1,40,120,170
342271,998217,342578,998054,449,447,95000,9,2,29.1,20,120,170
342256,998242,342578,998054,450,447,105000,7,2,29.1,20,120,170
342215,998242,342578,998054,452,447,75000,9,2,29.1,20,180,230
342256,998273,342578,998054,451,447,60000,6,2,29.1,40,120,170
342241,998315,342656,998288,453,445,105000,6,3.32,29.1,20,120,170
342191,998318,342656,998288,460,445,95000,9,3.32,29.1,20,220,270
342119,998229,342578,998054,458,447,80000,7,3.32,29.1,30,120,170
342173,998210,342578,998054,451,447,45000,6,3.32,29.1,40,120,170
342087,998084,342578,998054,444,447,60000,6,3.32,29.1,35,180,230
342156,998041,342578,998054,444,447,85000,9,3.32,29.1,20,120,170
342244,997952,342578,998054,439,447,45000,6,3.32,29.1,40,190,240
342278,997924,342578,998054,437,447,45000,6,3.32,29.1,40,120,170
342350,997863,342578,998054,440,447,45000,7,3.32,29.1,50,165,210
342319,998363,342656,998288,456,445,45000,7,3.32,29.1,60,165,210
342377,998442,342656,998288,455,445,45000,9,3.32,29.1,20,100,150
342386,998400,342656,998288,454,445,45000,9,3.32,29.1,20,165,210
342351,998388,342656,998288,455,445,45000,9,3.32,29.1,20,120,170
342363,998497,342656,998288,461,445,45000,6,3.32,29.1,20,165,210
342412,998499,342656,998288,457,445,45000,7,3.32,29.1,60,165,210
342451,998458,342656,998288,455,445,50000,7,3.32,29.1,50,200,250
342435,998578,342656,998288,454,445,80000,7,3.32,29.1,30,165,210
342589,998518,342656,998288,447,445,70000,8,3.32,29.1,40,285,330
342713,998358,342656,998288,447,445,85000,9,3.32,29.1,20,240,290
342643,998489,342656,998288,447,445,105000,6,3.32,29.1,35,480,300
342761,998401,342656,998288,448,445,40000,7,3.32,29.1,60,285,330
342734,998439,342656,998288,448,445,65000,8,3.32,29.1,40,210,260
342691,998521,342856,998576,449,455,85000,9,3.32,29.1,20,165,210
342730,998506,342856,998576,449,455,60000,6,3.32,29.1,40,405,450
342820,998416,342856,998576,449,455,75000,7,3.32,29.1,30,200,250
342750,998554,342856,998576,453,455,55000,8,3.32,29.1,40,285,330
342749,998615,342856,998576,453,455,95000,9,3.32,29.1,20,210,260
342705,998680,342856,998576,456,455,75000,7,3.32,29.1,30,330,380
342660,998690,342856,998576,457,455,85000,9,3.32,29.1,20,165,210
342622,998736,342856,998576,454,455,85000,7,3.32,29.1,30,240,290
342675,998765,342856,998576,457,455,85000,6,3.32,29.1,35,360,410
342889,998462,342856,998576,453,455,85000,7,3.32,29.1,30,405,450
342846,998544,342856,998576,454,455,85000,8,3.32,29.1,40,450,500
342968,998488,342856,998576,453,455,85000,8,3.32,29.1,40,210,260
342937,998567,342856,998576,455,455,85000,7,3.32,29.1,30,220,270
342849,998664,342856,998576,457,455,85000,8,3.32,29.1,40,285,330
342737,998736,342856,998576,460,455,100000,6,3.32,29.1,20,180,230
342855,998748,342856,998576,462,455,80000,9,3.32,29.1,20,165,210
343038,998536,343026,998683,453,456,40000,7,3.32,29.1,45,285,330
343025,998626,343026,998683,455,456,50000,7,3.32,29.1,50,360,410
342971,998669,343026,998683,458,456,100000,6,3.32,29.1,20,480,300
342943,998803,343026,998683,464,456,100000,7,3.32,29.1,20,220,270
343025,998738,343026,998683,457,456,40000,7,3.32,29.1,60,405,450
343084,998616,343026,998683,452,456,100000,6,3.32,29.1,20,350,400
343156,998572,343248,998605,453,450,60000,6,3.32,29.1,40,480,300
343088,998713,343089,998745,454,455,40000,7,3.32,29.1,60,450,500
343021,998814,343087,998859,459,459,95000,9,3.32,29.1,20,240,290
343154,998675,343089,998745,451,455,45000,6,3.32,29.1,40,480,300
343088,998803,343087,998859,458,459,85000,7,3.32,29.1,30,405,450
343181,998724,343089,998745,454,455,60000,6,3.32,29.1,40,450,500
343225,998794,343238,998814,452,453,75000,7,3.32,29.1,30,480,300
343172,998894,343098,998889,459,460,80000,7,3.32,29.1,30,300,350
343281,998737,343314,998665,451,450,95000,9,3.32,29.1,20,240,290
343308,998695,343314,998665,451,450,95000,9,3.32,29.1,20,330,380
343356,998738,343368,998672,450,448,95000,7,3.32,29.1,20,450,500
343307,998807,343238,998814,451,453,95000,8,3.32,29.1,40,230,280
343263,998898,343311,998886,455,454,95000,6,3.32,29.1,40,600,450
343323,998454,343367,998467,446,446,95000,6,3.32,29.1,40,480,300
343290,998521,343248,998605,447,450,95000,7,3.32,29.1,30,360,410
343252,998595,343248,998605,450,450,75000,9,3.32,29.1,20,280,330
343350,998525,343367,998467,448,446,95000,9,3.32,29.1,20,285,330
343336,998602,343326,998636,448,449,60000,6,3.32,29.1,40,720,380
343421,998492,343367,998467,446,446,75000,7,3.32,29.1,30,450,500
343471,998543,343539,998470,444,443,40000,7,3.32,29.1,60,180,230
343410,998593,343368,998672,446,448,65000,8,3.32,29.1,40,285,330
343419,998645,343368,998672,447,448,85000,9,3.32,29.1,20,300,350
342829,998804,342856,998576,463,455,40000,7,3.32,29.1,60,120,170
343079,998920,343098,998889,461,460,45000,6,3.32,29.1,40,645,400
343219,998977,343311,998886,459,454,65000,8,3.32,29.1,35,285,330
343087,999010,343098,998889,464,460,40000,7,3.32,29.1,60,360,410
342929,998944,343098,998889,464,460,40000,9,3.32,29.1,20,210,260
342863,998914,343087,998859,466,459,40000,8,3.32,29.1,40,380,430
342743,998848,342856,998576,461,455,40000,7,3.32,29.1,30,210,260
343192,999041,343098,998889,462,460,40000,7,3.32,29.1,20,210,260
343150,999078,343098,998889,469,460,40000,8,3.32,29.1,40,380,430
343037,999105,343098,998889,471,460,90000,9,3.32,29.1,20,210,260
342970,999062,343098,998889,471,460,105000,9,3.32,29.1,20,180,230
342937,999024,343098,998889,465,460,70000,8,3.32,29.1,40,210,260
342884,999020,343098,998889,466,460,70000,6,3.32,29.1,35,210,260
342794,999024,343098,998889,467,460,70000,8,3.32,29.1,40,180,230
342717,998980,343087,998859,460,459,70000,9,3.32,29.1,20,210,260
342688,999072,343098,998889,463,460,70000,6,3.32,29.1,20,370,420
342863,999133,343098,998889,470,460,105000,7,3.32,29.1,30,210,260
343004,999180,343098,998889,478,460,40000,7,3.32,29.1,50,210,260
343101,999197,343098,998889,478,460,100000,6,3.32,29.1,20,320,370
343069,999288,343098,998889,482,460,40000,7,3.32,29.1,60,210,260
342972,999290,343098,998889,483,460,50000,7,3.32,29.1,50,140,190
342931,999229,343098,998889,478,460,55000,6,3.32,29.1,40,210,260
342867,999248,343098,998889,471,460,70000,8,3.32,29.1,35,210,260
342775,999235,343098,998889,470,460,50000,7,3.32,29.1,60,180,230
342639,999157,343098,998889,478,460,80000,7,3.32,29.1,30,210,260
342675,999273,342784,999789,487,503,80000,8,3.32,29.1,40,210,260
342656,999344,342784,999789,499,503,80000,9,3.32,29.1,20,190,240
342776,999301,342784,999789,477,503,80000,6,3.32,29.1,20,210,260
342858,999298,343098,998889,475,460,80000,7,3.32,29.1,50,210,260
342946,999333,343098,998889,484,460,80000,7,3.32,29.1,30,400,450
343018,999381,342784,999789,486,503,80000,8,3.32,29.1,40,210,260
343004,999448,342784,999789,494,503,80000,6,3.32,29.1,40,120,170
342876,999421,342784,999789,487,503,80000,7,3.32,29.1,30,280,330
342876,999479,342784,999789,491,503,50000,7,3.32,29.1,30,120,170
342818,999417,342784,999789,494,503,60000,6,3.32,29.1,40,120,170
342764,999521,342784,999789,494,503,50000,7,3.32,29.1,50,165,210
342602,999499,342784,999789,501,503,70000,8,3.32,29.1,40,380,430
342583,999570,342784,999789,509,503,95000,8,3.32,29.1,35,165,210
342650,999600,342784,999789,495,503,95000,9,3.32,29.1,20,120,170
342594,999647,342784,999789,503,503,65000,8,3.32,29.1,40,165,210
342807,999604,342784,999789,497,503,45000,6,3.32,29.1,40,280,330
342769,999718,342784,999789,500,503,40000,7,3.32,29.1,60,360,410
342743,999894,342784,999789,500,503,55000,6,3.32,29.1,40,450,500
342674,999674,342784,999789,497,503,55000,6,3.32,29.1,40,450,500
342596,999732,342784,999789,507,503,85000,9,3.32,29.1,40,165,210
342563,999813,342784,999789,512,503,90000,8,3.32,29.1,40,210,260
342657,999810,342784,999789,504,503,60000,6,3.32,29.1,40,280,330
342508,999922,342784,999789,518,503,100000,7,3.32,29.1,20,285,330
342613,999886,342784,999789,506,503,100000,9,3.32,29.1,20,210,260
342643,999946,342784,999789,505,503,40000,7,3.32,29.1,60,330,380
342759,999980,342784,999789,499,503,50000,6,3.32,29.1,40,480,300
342695,1000002,342784,999789,505,503,75000,7,3.32,29.1,30,330,380
343505,998566,343539,998470,443,443,95000,9,3.32,29.1,50,285,330
343492,998610,343368,998672,446,448,55000,6,3.32,29.1,40,570,280
343469,998643,343368,998672,447,448,65000,7,3.32,29.1,30,480,300
343440,998683,343368,998672,448,448,105000,6,3.32,29.1,20,720,380
343544,998557,343539,998470,444,443,65000,8,3.32,29.1,40,300,350
343578,998583,343676,998641,445,449,60000,6,3.32,29.1,40,600,450
343543,998607,343539,998470,445,443,75000,7,3.32,29.1,30,450,500
343544,998646,343676,998641,445,449,105000,7,3.32,29.1,20,380,430
343628,998614,343676,998641,446,449,45000,6,3.32,29.1,40,765,280
343591,998634,343676,998641,445,449,80000,7,3.32,29.1,30,525,480
