ID,Household income,Household size,Rainfall,Ave temp wet,LST wet,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay
1,100000,7,306.69,28.4,38.51,20,136.01,4,200,330,380
2,50000,7,306.69,28.4,39.12,50,349.69,2,120,165,210
3,85000,6,306.69,28.4,39.46,20,335.43,7,200,450,500
4,80000,8,306.69,28.4,39.14,35,310.44,2,160,165,210
5,75000,7,306.69,28.4,39.13,30,276.74,0,180,285,330
6,50000,7,306.69,28.4,39.24,45,224.96,2,120,330,380
7,75000,7,306.69,28.4,38.94,30,167.03,4,180,150,200
8,75000,9,306.69,28.4,38.66,20,122.1,3,200,210,260
9,75000,7,306.69,28.4,39.01,30,107.42,3,180,165,210
10,75000,9,306.69,28.4,39.47,20,151.09,3,220,400,450
11,75000,6,306.69,28.4,39.44,20,249,1,200,200,250
12,75000,9,306.69,28.4,39.88,20,290,8,200,210,260
13,75000,6,306.69,28.4,39.81,35,266.37,6,140,285,330
14,75000,8,306.69,28.4,39.73,40,238.1,3,160,165,210
15,75000,7,306.69,28.4,39.55,60,203.82,0,100,120,170
16,75000,7,306.69,28.4,39.59,30,156.35,2,180,285,330
17,75000,6,306.69,28.4,39.5,40,104.85,2,140,285,330
18,45000,8,306.69,28.4,39.46,40,76.55,1,160,165,210
19,40000,7,306.69,28.4,39.39,60,52.61,2,100,280,330
20,105000,6,306.69,28.4,39.62,20,126.21,1,200,450,500
21,100000,9,306.69,28.4,39.73,20,189.99,0,220,300,350
22,105000,9,306.69,28.4,39.81,20,251.53,7,200,210,260
23,50000,7,306.69,28.4,39.7,50,240.93,7,120,165,210
24,45000,6,306.69,28.4,39.72,40,207.39,5,140,285,330
25,65000,8,306.69,28.4,39.76,35,182.72,2,160,380,430
26,50000,6,306.69,28.4,39.44,40,112.16,0,140,285,330
27,105000,6,306.69,28.4,39.42,20,56.3,1,200,450,500
28,40000,7,306.69,28.4,39.06,60,30.41,1,100,120,170
29,40000,6,306.69,28.4,39.29,40,74.43,2,140,200,250
30,40000,7,306.69,28.4,39.47,60,141.01,2,100,120,170
31,40000,7,306.69,28.4,39.61,60,144.28,3,100,360,410
32,40000,7,306.69,28.4,39.54,30,167.93,5,180,90,140
33,40000,7,306.69,28.4,39.06,30,67.2,4,180,210,260
34,40000,6,306.69,28.4,38.77,20,93.52,5,220,120,170
35,40000,7,306.69,28.4,39.06,60,102.07,5,100,120,170
36,40000,8,306.69,28.4,39.28,40,60.88,2,160,280,330
37,40000,6,306.69,28.4,39.42,20,87,0,200,240,290
38,40000,7,306.69,28.4,39.56,30,92.91,3,180,165,210
39,100000,7,306.69,28.4,39.44,30,126.53,3,180,120,170
40,60000,6,306.69,28.4,39.33,40,167.06,6,140,300,350
41,45000,6,306.69,28.4,39.16,35,206.46,6,140,120,170
42,60000,6,306.69,28.4,38.95,40,193.83,6,140,260,310
43,40000,7,306.69,28.4,38.96,60,188.4,4,100,120,170
44,60000,6,306.69,28.4,39.15,35,139.45,4,140,120,170
45,65000,7,306.69,28.4,39.33,30,74.4,3,180,180,230
46,100000,7,306.69,28.4,39.46,20,35.36,1,220,360,410
47,70000,8,306.69,28.4,39.42,40,51.62,1,160,285,330
48,100000,9,306.69,28.4,39.26,20,90.8,1,220,240,290
49,85000,9,306.69,28.4,38.95,20,136.56,2,200,120,170
50,100000,9,306.69,28.4,38.65,20,150.72,4,220,300,350
51,90000,9,306.69,28.4,39.08,20,102.08,1,220,120,170
52,105000,9,306.69,28.4,39.13,20,114.39,3,200,240,290
53,75000,7,306.69,28.4,39.15,30,139.29,4,180,120,170
54,75000,7,306.69,28.4,38.74,45,188.53,3,120,120,170
55,75000,9,306.69,28.4,38.79,20,189.11,3,200,200,250
56,75000,7,306.69,28.4,38.99,30,151.82,3,180,120,170
57,75000,8,306.69,28.4,39.09,40,98.27,3,160,310,360
58,75000,6,306.69,28.4,39.24,20,66.1,3,200,285,330
59,75000,6,306.69,28.4,39.13,40,54.04,2,160,330,380
60,75000,6,306.69,28.4,39.24,35,37.12,1,140,280,330
61,80000,7,306.69,28.4,39.11,30,77.16,2,180,210,260
62,40000,7,306.69,28.4,38.89,60,118.44,2,100,165,210
63,75000,7,306.69,28.4,38.73,30,176.82,3,180,165,210
64,40000,7,306.69,28.4,37.58,50,235.36,6,120,100,150
65,45000,6,306.69,28.4,37.95,40,254.87,7,140,165,210
66,90000,9,306.69,28.4,37.26,20,296.1,9,220,165,210
67,50000,7,306.69,28.4,38.19,50,207.2,5,120,200,250
68,60000,6,306.69,28.4,37.41,40,238.32,6,140,165,210
69,60000,7,306.69,28.4,37.82,50,197.28,5,120,165,210
70,60000,9,306.69,28.4,37.32,20,228.64,6,200,310,360
71,60000,7,306.69,28.4,37.16,60,237.98,6,100,165,210
72,60000,8,306.69,28.4,37.35,40,197.31,5,160,165,210
73,60000,6,306.69,28.4,37.46,40,209.4,5,140,120,170
74,60000,7,306.69,28.4,37.04,30,261.01,6,180,280,330
75,65000,8,306.69,28.4,37.37,40,234.85,6,160,120,170
76,70000,7,306.69,28.4,37.41,30,281.32,4,180,120,170
77,40000,7,306.69,28.4,37.39,60,344.41,0,100,300,350
78,45000,6,306.69,28.4,37.59,40,315.41,1,140,120,170
