ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
1,100000,7,2,29.1,20,136.01,4,200,330,380,6600,51683.8,2720.2,400,108900,144400,18498.7201
2,50000,7,2,29.1,50,349.69,2,120,165,210,8250,73434.9,17484.5,2500,27225,44100,122283.0961
3,85000,6,2,29.1,20,335.43,7,200,450,500,9000,167715,6708.6,400,202500,250000,112513.2849
4,80000,8,2,29.1,35,310.44,2,160,165,210,5775,65192.4,10865.4,1225,27225,44100,96372.9936
5,75000,7,2,29.1,30,276.74,0,180,285,330,8550,91324.2,8302.2,900,81225,108900,76585.0276
6,50000,7,2,29.1,45,224.96,2,120,330,380,14850,85484.8,10123.2,2025,108900,144400,50607.0016
7,75000,7,2,29.1,30,167.03,4,180,150,200,4500,33406,5010.9,900,22500,40000,27899.0209
8,75000,9,2,29.1,20,122.1,3,200,210,260,4200,31746,2442,400,44100,67600,14908.41
9,75000,7,2,29.1,30,107.42,3,180,165,210,4950,22558.2,3222.6,900,27225,44100,11539.0564
10,75000,9,2,29.1,20,151.09,3,220,400,450,8000,67990.5,3021.8,400,160000,202500,22828.1881
11,75000,6,2,29.1,20,249,1,200,200,250,4000,62250,4980,400,40000,62500,62001
12,75000,9,2,29.1,20,290,8,200,210,260,4200,75400,5800,400,44100,67600,84100
13,75000,6,2,29.1,35,266.37,6,140,285,330,9975,87902.1,9322.95,1225,81225,108900,70952.9769
14,75000,8,2,29.1,40,238.1,3,160,165,210,6600,50001,9524,1600,27225,44100,56691.61
15,75000,7,2,29.1,60,203.82,0,100,120,170,7200,34649.4,12229.2,3600,14400,28900,41542.5924
16,75000,7,2,29.1,30,156.35,2,180,285,330,8550,51595.5,4690.5,900,81225,108900,24445.3225
17,75000,6,2,29.1,40,104.85,2,140,285,330,11400,34600.5,4194,1600,81225,108900,10993.5225
18,45000,8,2,29.1,40,76.55,1,160,165,210,6600,16075.5,3062,1600,27225,44100,5859.9025
19,40000,7,2,29.1,60,52.61,2,100,280,330,16800,17361.3,3156.6,3600,78400,108900,2767.8121
20,105000,6,2,29.1,20,126.21,1,200,450,500,9000,63105,2524.2,400,202500,250000,15928.9641
21,100000,9,2,29.1,20,189.99,0,220,300,350,6000,66496.5,3799.8,400,90000,122500,36096.2001
22,105000,9,2,29.1,20,251.53,7,200,210,260,4200,65397.8,5030.6,400,44100,67600,63267.3409
23,50000,7,2,29.1,50,240.93,7,120,165,210,8250,50595.3,12046.5,2500,27225,44100,58047.2649
24,45000,6,2,29.1,40,207.39,5,140,285,330,11400,68438.7,8295.6,1600,81225,108900,43010.6121
25,65000,8,2,29.1,35,182.72,2,160,380,430,13300,78569.6,6395.2,1225,144400,184900,33386.5984
26,50000,6,2,29.1,40,112.16,0,140,285,330,11400,37012.8,4486.4,1600,81225,108900,12579.8656
27,105000,6,2,29.1,20,56.3,1,200,450,500,9000,28150,1126,400,202500,250000,3169.69
28,40000,7,2,29.1,60,30.41,1,100,120,170,7200,5169.7,1824.6,3600,14400,28900,924.7681
29,40000,6,2,29.1,40,74.43,2,140,200,250,8000,18607.5,2977.2,1600,40000,62500,5539.8249
30,40000,7,2,29.1,60,141.01,2,100,120,170,7200,23971.7,8460.6,3600,14400,28900,19883.8201
31,40000,7,2,29.1,60,144.28,3,100,360,410,21600,59154.8,8656.8,3600,129600,168100,20816.7184
32,40000,7,2,29.1,30,167.93,5,180,90,140,2700,23510.2,5037.9,900,8100,19600,28200.4849
33,40000,7,2,29.1,30,67.2,4,180,210,260,6300,17472,2016,900,44100,67600,4515.84
34,40000,6,2,29.1,20,93.52,5,220,120,170,2400,15898.4,1870.4,400,14400,28900,8745.9904
35,40000,7,2,29.1,60,102.07,5,100,120,170,7200,17351.9,6124.2,3600,14400,28900,10418.2849
36,40000,8,2,29.1,40,60.88,2,160,280,330,11200,20090.4,2435.2,1600,78400,108900,3706.3744
37,40000,6,2,29.1,20,87,0,200,240,290,4800,25230,1740,400,57600,84100,7569
38,40000,7,2,29.1,30,92.91,3,180,165,210,4950,19511.1,2787.3,900,27225,44100,8632.2681
39,100000,7,2,29.1,30,126.53,3,180,120,170,3600,21510.1,3795.9,900,14400,28900,16009.8409
40,60000,6,2,29.1,40,167.06,6,140,300,350,12000,58471,6682.4,1600,90000,122500,27909.0436
41,45000,6,2,29.1,35,206.46,6,140,120,170,4200,35098.2,7226.1,1225,14400,28900,42625.7316
42,60000,6,2,29.1,40,193.83,6,140,260,310,10400,60087.3,7753.2,1600,67600,96100,37570.0689
43,40000,7,2,29.1,60,188.4,4,100,120,170,7200,32028,11304,3600,14400,28900,35494.56
44,60000,6,2,29.1,35,139.45,4,140,120,170,4200,23706.5,4880.75,1225,14400,28900,19446.3025
45,65000,7,2,29.1,30,74.4,3,180,180,230,5400,17112,2232,900,32400,52900,5535.36
46,100000,7,2,29.1,20,35.36,1,220,360,410,7200,14497.6,707.2,400,129600,168100,1250.3296
47,70000,8,2,29.1,40,51.62,1,160,285,330,11400,17034.6,2064.8,1600,81225,108900,2664.6244
48,100000,9,2,29.1,20,90.8,1,220,240,290,4800,26332,1816,400,57600,84100,8244.64
49,85000,9,2,29.1,20,136.56,2,200,120,170,2400,23215.2,2731.2,400,14400,28900,18648.6336
50,100000,9,2,29.1,20,150.72,4,220,300,350,6000,52752,3014.4,400,90000,122500,22716.5184
51,90000,9,2,29.1,20,102.08,1,220,120,170,2400,17353.6,2041.6,400,14400,28900,10420.3264
52,105000,9,2,29.1,20,114.39,3,200,240,290,4800,33173.1,2287.8,400,57600,84100,13085.0721
53,75000,7,2,29.1,30,139.29,4,180,120,170,3600,23679.3,4178.7,900,14400,28900,19401.7041
54,75000,7,2,29.1,45,188.53,3,120,120,170,5400,32050.1,8483.85,2025,14400,28900,35543.5609
55,75000,9,2,29.1,20,189.11,3,200,200,250,4000,47277.5,3782.2,400,40000,62500,35762.5921
56,75000,7,2,29.1,30,151.82,3,180,120,170,3600,25809.4,4554.6,900,14400,28900,23049.3124
57,75000,8,2,29.1,40,98.27,3,160,310,360,12400,35377.2,3930.8,1600,96100,129600,9656.9929
58,75000,6,2,29.1,20,66.1,3,200,285,330,5700,21813,1322,400,81225,108900,4369.21
59,75000,6,2,29.1,40,54.04,2,160,330,380,13200,20535.2,2161.6,1600,108900,144400,2920.3216
60,75000,6,2,29.1,35,37.12,1,140,280,330,9800,12249.6,1299.2,1225,78400,108900,1377.8944
61,80000,7,2,29.1,30,77.16,2,180,210,260,6300,20061.6,2314.8,900,44100,67600,5953.6656
62,40000,7,2,29.1,60,118.44,2,100,165,210,9900,24872.4,7106.4,3600,27225,44100,14028.0336
63,75000,7,2,29.1,30,176.82,3,180,165,210,4950,37132.2,5304.6,900,27225,44100,31265.3124
64,40000,7,2,29.1,50,235.36,6,120,100,150,5000,35304,11768,2500,10000,22500,55394.3296
65,45000,6,2,29.1,40,254.87,7,140,165,210,6600,53522.7,10194.8,1600,27225,44100,64958.7169
66,90000,9,2,29.1,20,296.1,9,220,165,210,3300,62181,5922,400,27225,44100,87675.21
67,50000,7,2,29.1,50,207.2,5,120,200,250,10000,51800,10360,2500,40000,62500,42931.84
68,60000,6,2,29.1,40,238.32,6,140,165,210,6600,50047.2,9532.8,1600,27225,44100,56796.4224
69,60000,7,2,29.1,50,197.28,5,120,165,210,8250,41428.8,9864,2500,27225,44100,38919.3984
70,60000,9,2,29.1,20,228.64,6,200,310,360,6200,82310.4,4572.8,400,96100,129600,52276.2496
71,60000,7,2,29.1,60,237.98,6,100,165,210,9900,49975.8,14278.8,3600,27225,44100,56634.4804
72,60000,8,2,29.1,40,197.31,5,160,165,210,6600,41435.1,7892.4,1600,27225,44100,38931.2361
73,60000,6,2,29.1,40,209.4,5,140,120,170,4800,35598,8376,1600,14400,28900,43848.36
