ID,Gender,Household income,Household size,Method of accessing water,Travel time,Amount spent,Volume per day dry,Volume per day wet,Availability of water,Quality of water,Willingness to pay,lon,lat,Location,date
1,female,100000,7,carried,20,9000,180,200,often,good,9000,7.566648072,9.025747879,AREA_A,6/3/2024
2,male,50000,7,delivered,50,4000,100,120,often,good,5000,7.565301625,9.028111721,AREA_A,6/3/2024
3,male,85000,6,delivered,20,9000,180,200,not_often,good,9000,7.565464099,9.028428839,AREA_A,6/3/2024
4,female,80000,8,delivered,35,8000,140,160,often,fair,8500,7.565674984,9.028004671,AREA_A,6/3/2024
5,male,75000,7,delivered,30,7000,160,180,often,fair,7500,7.565839817,9.027725002,AREA_A,6/3/2024
6,male,50000,7,carried,45,4000,100,120,often,good,5000,7.566087227,9.027264807,AREA_A,6/3/2024
7,male,75000,7,carried,30,7000,160,180,not_often,fair,7500,7.566380615,9.026678199,AREA_A,6/3/2024
8,male,75000,9,carried,20,9000,180,200,not_often,good,9000,7.566701183,9.026118823,AREA_A,6/3/2024
9,male,NULL,NULL,carried,30,NULL,160,180,not_often,fair,7500,7.566957544,9.025694832,AREA_A,6/3/2024
10,male,75000,9,carried,20,10000,200,220,often,fair,10000,7.566625489,9.026860002,AREA_A,6/3/2024
11,male,75000,6,carried,20,9000,180,200,not_often,good,9000,7.566158243,9.02770816,AREA_A,6/3/2024
12,female,75000,9,carried,20,9000,180,200,not_often,good,9000,7.565908689,9.028710888,AREA_A,6/3/2024
13,male,75000,6,carried,35,5000,120,140,not_often,fair,5500,7.566091821,9.028404163,AREA_A,6/3/2024
14,female,75000,8,delivered,40,8000,140,160,not_often,fair,8500,7.566394235,9.027835675,AREA_A,6/3/2024
15,female,75000,7,carried,60,3000,80,100,often,fair,3500,7.566550115,9.027519801,AREA_A,6/3/2024
16,male,NULL,NULL,carried,30,7000,160,180,often,fair,7500,7.566769951,9.027131837,AREA_A,6/4/2024
17,male,75000,6,carried,40,5000,120,140,often,fair,5500,7.567008227,9.026680648,AREA_A,6/4/2024
18,female,45000,8,carried,40,8000,140,160,often,fair,8500,7.567154867,9.026400907,AREA_A,6/4/2024
19,female,40000,7,carried,60,3000,80,100,not_often,good,2000,7.567337997,9.02609418,AREA_A,6/4/2024
20,male,105000,6,carried,20,9000,180,200,often,good,9000,7.567106747,9.027069854,AREA_A,6/4/2024
21,male,100000,9,carried,20,10000,200,220,not_often,fair,10000,7.566831836,9.027584197,AREA_A,6/4/2024
22,male,105000,9,delivered,20,9000,180,200,not_often,fair,9000,7.566254547,9.028657985,AREA_A,6/4/2024
23,male,50000,7,delivered,50,4000,100,120,often,fair,5000,7.566399259,9.028866524,AREA_A,6/4/2024
24,male,45000,6,delivered,40,5000,120,140,often,good,5500,7.566637216,9.028496716,AREA_A,6/4/2024
25,female,65000,8,carried,35,8000,140,160,often,fair,8500,7.566866363,9.028054535,AREA_A,6/4/2024
26,female,50000,6,carried,40,5000,120,140,not_often,good,5500,7.567424958,9.027107265,AREA_A,6/4/2024
27,female,105000,6,carried,20,9000,180,200,not_often,good,9000,7.567635982,9.026646927,AREA_A,6/4/2024
28,female,40000,7,carried,60,3000,80,100,not_often,fair,3500,7.568055782,9.026295912,AREA_A,6/4/2024
29,female,NULL,6,carried,40,5000,120,140,often,good,5500,7.56788082,9.026837772,AREA_A,6/4/2024
30,male,40000,7,carried,60,3000,80,100,not_often,good,3500,7.567477856,9.027532463,AREA_A,6/4/2024
31,male,40000,7,carried,60,3000,80,100,often,fair,2500,7.567202338,9.028200524,AREA_A,6/4/2024
32,male,40000,7,delivered,30,7000,160,180,often,good,7500,7.567054662,9.028742489,AREA_A,6/4/2024
33,female,40000,7,carried,30,7000,160,180,not_often,good,7500,7.568172601,9.026658062,AREA_A,6/4/2024
34,male,40000,6,delivered,20,10000,200,220,often,good,10000,7.568582448,9.026524024,AREA_A,6/4/2024
35,female,40000,7,delivered,60,3000,80,100,often,fair,3500,7.568417368,9.026866991,AREA_A,6/4/2024
36,female,40000,8,delivered,40,8000,140,160,not_often,good,8500,7.568206701,9.027236907,AREA_A,6/4/2024
37,male,NULL,NULL,carried,20,9000,180,200,not_often,good,NULL,7.567940923,9.027742244,AREA_A,6/4/2024
38,male,40000,7,delivered,30,7000,160,180,not_often,fair,7500,7.567675466,9.0281662,AREA_A,6/4/2024
39,male,100000,7,delivered,30,7000,160,180,often,good,7500,7.567409901,9.028617282,AREA_A,6/4/2024
40,male,60000,6,delivered,40,5000,120,140,often,good,5500,7.567217067,9.029077691,AREA_A,6/4/2024
41,female,45000,6,delivered,35,5000,120,140,often,fair,4500,7.566979431,9.029366119,AREA_A,6/4/2024
42,female,60000,6,delivered,40,5000,120,140,not_often,fair,5500,7.567224556,9.029484627,AREA_A,6/4/2024
43,female,40000,7,delivered,60,3000,80,100,often,good,3500,7.567469539,9.029639303,AREA_A,6/4/2024
44,female,NULL,6,delivered,35,NULL,120,140,not_often,good,NULL,7.567653134,9.029215028,AREA_A,6/4/2024
45,female,65000,7,carried,30,7000,160,180,not_often,fair,7500,7.5679645,9.028682742,AREA_A,6/4/2024
46,male,100000,7,carried,20,10000,200,220,not_often,fair,10000,7.568193289,9.028330982,AREA_A,6/4/2024
47,male,70000,8,carried,40,8000,140,160,often,fair,8500,7.568440875,9.027825574,AREA_A,6/4/2024
48,female,100000,9,carried,20,10000,200,220,often,good,10000,7.568624183,9.027473636,AREA_A,6/4/2024
49,female,85000,9,delivered,20,9000,180,200,not_often,fair,9000,7.568834885,9.027094678,AREA_A,6/4/2024
50,female,100000,9,delivered,20,10000,200,220,not_often,fair,10000,7.569027074,9.026797028,AREA_A,6/4/2024
51,female,90000,9,delivered,20,10000,200,220,often,fair,10000,7.56896979,9.027484025,AREA_A,6/4/2024
52,female,105000,9,delivered,20,9000,180,200,often,good,9000,7.567971669,9.029171058,AREA_A,6/4/2024
53,female,75000,7,delivered,30,7000,160,180,often,fair,7500,7.567879889,9.029378675,AREA_A,6/4/2024
54,female,NULL,7,delivered,45,4000,100,120,not_often,good,NULL,7.567660053,9.029766639,AREA_A,6/4/2024
